UNIT,PLANT,PARENT,URL,SPONSOR,CAPACITY_MW,STATUS,REGION,COUNTRY,SUBNATIONAL_UNIT,GEOPOINT
Phase Ii,,,,,,,,,,
Phase Iv,,,,,,,,,,
Phase V,,,,,,,,,,
Phase I,,,,,,,,,,
Phase Ii,,,,,,,,,,
Phase I,,,,,,,,,,
Phase I,,,,,,,,,,
Phase I,,,,,,,,,,
Phase I,,,,,,,,,,
Phase I,,,,,,,,,,
Phase Ir,,,,,,,,,,
,Wulate Middle Qi Jinquan Power Station,Beijing State-Owned Capital Management Center,https://www.gem.wiki/Wulate_Middle_Qi_Jinquan_power_station,,2400,Cancelled,Asia,China,Inner Mongolia,41.29746
Phase Ii,,,,,,,,,,
Phase I,,,,,,,,,,
Phase Ii,,,,,,,,,,
Unit 4,Xi An Xijiao Power Station,Xi'An Urban Infrastructure Construction Investment Group Co Ltd,https://www.gem.wiki/Xi_An_Xijiao_power_station,,50,Operating,Asia,China,Shaanxi,34.25826
Unit 10,Xiahuayuan Power Station,Datang International Power Generation Co Ltd,https://www.gem.wiki/Xiahuayuan_power_station,,100,Retired,Asia,China,Hebei,40.48913
Unit 1,Xiamen Songyu Power Station,Sdic Power Holdings Co Ltd [56.0%]; Fujian Province Investment Development Group Co Ltd [24.0%]; Xiamen Jin Yuan Investment Group Co Ltd [20.0%],https://www.gem.wiki/Xiamen_Songyu_power_station,,300,Operating,Asia,China,Fujian,24.44606
Unit 5,Xiamen Songyu Power Station,Sdic Power Holdings Co Ltd [56.0%]; Fujian Province Investment Development Group Co Ltd [24.0%]; Xiamen Jin Yuan Investment Group Co Ltd [20.0%],https://www.gem.wiki/Xiamen_Songyu_power_station,,600,Permitted,Asia,China,Fujian,24.44606
Phase I,,,,,,,,,,
Phase Iii,,,,,,,,,,
Unit 2,Xiantao Power Station,China Resources Power Holdings Co Ltd,https://www.gem.wiki/Xiantao_power_station,,660,Operating,Asia,China,Hubei,30.37196
Unit 1,Xiaohaotu Power Station,Shaanxi Investment Group Co Ltd,https://www.gem.wiki/Xiaohaotu_power_station,,1000,Cancelled,Asia,China,Shaanxi,38.78577
Unit 5,Xiaohaotu Power Station,Shaanxi Investment Group Co Ltd,https://www.gem.wiki/Xiaohaotu_power_station,,1000,Cancelled,Asia,China,Shaanxi,38.78577
Phase Iii,,,,,,,,,,
Phase I,,,,,,,,,,
Unit 2,Xieqiao Power Station,Huaihe Energy Holding Group Co Ltd [74.0%]; China Development Bank Corp [10.7%]; China Cinda Asset Management Co Ltd [7.4%],https://www.gem.wiki/Xieqiao_power_station,,660,Permitted,Asia,China,Anhui,32.73981
Unit 2,Xifeng Power Station,Qingyang Xifeng District Heating Group Co Ltd,https://www.gem.wiki/Xifeng_power_station,,350,Cancelled,Asia,China,Gansu,35.58389
Phase Ii,,,,,,,,,,
Phase I,,,,,,,,,,
Unit 3,Xindian Power Station,Huaneng Power International Inc [95.0%]; Zibo Linzi Jiuhe Finance Holding Co Ltd [5.0%],https://www.gem.wiki/Xindian_power_station,,225,Retired,Asia,China,Shandong,36.78223
Unit 2,Xinfeng Power Station,Jiangxi Provincial Investment Group Corp [81.0%]; China Energy Investment Corp [10.0%]; Jiangxi Financial Investment Group Co Ltd [9.0%],https://www.gem.wiki/Xinfeng_power_station,,660,Operating,Asia,China,Jiangxi,25.31759
Phase Iv,,,,,,,,,,
Phase Vi,,,,,,,,,,
Unit 1,Xinguang Power Station,Shanxi State-Owned Capital Investment And Operation Co Ltd [52.7%]; Kepco Shanxi International [17.0%]; China Development Bank Corp [8.1%]; China Cinda Asset Management Co Ltd [6.8%],https://www.gem.wiki/Xinguang_power_station,,660,Cancelled,Asia,China,Shanxi,35.99874
Unit 1,Xingyang Integration Power Station,China Energy Investment Corp [80.0%]; Henan Province Energy Chemical Group Co Ltd [13.8%]; Shenzhen Yingshui Investment Group Co Ltd [5.6%],https://www.gem.wiki/Xingyang_Integration_power_station,,630,Operating,Asia,China,Henan,34.82465
Unit 2,Xingyi Zhengluwan Power Station,Guangxi Zhuang Autonomous Region Baise Electric Power Co Ltd [62.9%]; Persons [31.0%]; Gongqingcheng Qiankun Rongchang Investment Partnership Lp [6.0%],https://www.gem.wiki/Xingyi_Zhengluwan_power_station,,350,Operating,Asia,China,Guizhou,25.19823
Unit 1,Xinhua Power Station,Huaneng Power International Inc [70.0%]; Heilongjiang Chenneng Investment Group Co Ltd [30.0%],https://www.gem.wiki/Xinhua_power_station,,50,Retired,Asia,China,Heilongjiang,46.13508
Unit 3,Xinhua Power Station,Huaneng Power International Inc [70.0%]; Heilongjiang Chenneng Investment Group Co Ltd [30.0%],https://www.gem.wiki/Xinhua_power_station,,100,Retired,Asia,China,Heilongjiang,46.13508
Unit 4,Xinhua Power Station,Huaneng Power International Inc [70.0%]; Heilongjiang Chenneng Investment Group Co Ltd [30.0%],https://www.gem.wiki/Xinhua_power_station,,100,Retired,Asia,China,Heilongjiang,46.13508
Unit 5,Xinhua Power Station,Huaneng Power International Inc [70.0%]; Heilongjiang Chenneng Investment Group Co Ltd [30.0%],https://www.gem.wiki/Xinhua_power_station,,200,Operating,Asia,China,Heilongjiang,46.13508
Phase Ii,,,,,,,,,,
Phase Iii,,,,,,,,,,
Unit 1,Xinjiang Guoxin Qitai Power Station,Zhongneng Power (Suzhou) Co Ltd,https://www.gem.wiki/Xinjiang_Guoxin_Qitai_power_station,,660,Operating,Asia,China,Xinjiang,44.36282
Unit 2,Xinjiang Midong Power Station,China Huadian Group Corp,https://www.gem.wiki/Xinjiang_Midong_power_station,,300,Operating,Asia,China,Xinjiang,43.94624
Phase Ii,,,,,,,,,,
Unit 1,Xinjiang Zhongtai Huatai Power Station,Xinjiang Zhongtai Chenical Co Ltd [84.6%]; Agricultural Bank Of China Ltd [8.8%],https://www.gem.wiki/Xinjiang_Zhongtai_Huatai_power_station,,150,Operating,Asia,China,Xinjiang,43.94293
Unit 1,Xinminyuan Power Station,Shaanxi Coal Industry Co Ltd,https://www.gem.wiki/Xinminyuan_power_station,,1000,Cancelled,Asia,China,Shaanxi,35.1105
Unit 4,Xinminyuan Power Station,China Energy Investment Corp [51.0%]; Shaanxi Coal Industry Co Ltd [49.0%],https://www.gem.wiki/Xinminyuan_power_station,,1000,Cancelled,Asia,China,Shaanxi,35.1105
Unit 1,Xintai Power Station,Shandong Energy Power Group Xintai Power Generation Co.,,,,,,,,
Unit 3,Xinwen Peak Cogen Power Station,Labor Union Committee Of Xinwen Mining Group Materials Supply And Marketing Co Ltd [57.0%]; Xinwen Mining Group Co Ltd Zhai Town Coal Mine Trade Union Committee [16.4%]; Shandong Energy Group Co Ltd [14.6%]; Xinwen Mining Group Co Ltd Sun Village Coal Mine Trade Union Committee [5.7%],https://www.gem.wiki/Xinwen_Peak_cogen_power_station,,30,Retired,Asia,China,Shandong,35.86762
Unit 2,Xinxiang Baoshan Power Station,Huadian Power International Co Ltd [97.9%],https://www.gem.wiki/Xinxiang_Baoshan_power_station,,660,Operating,Asia,China,Henan,35.32708
Unit 07,Xinxiang Yuxin Power Station,State Power Investment Co Ltd [65.3%]; Xinxiang Investment Group Co Ltd [27.2%],https://www.gem.wiki/Xinxiang_Yuxin_power_station,,330,Operating,Asia,China,Henan,35.40551
Unit 10,Xinxiang Yuxin Power Station,State Power Investment Co Ltd [65.3%]; Xinxiang Investment Group Co Ltd [27.2%],https://www.gem.wiki/Xinxiang_Yuxin_power_station,,1000,Cancelled,Asia,China,Henan,35.40551
Phase I,,,,,,,,,,
Unit 1,Xinyang Power Station,Shaanxi Coal And Chemical Industry Co Ltd [51.2%]; China Datang Corp [48.2%],https://www.gem.wiki/Xinyang_power_station,,1000,Pre-Permit,Asia,China,Henan,32.10902
Phase Ii,,,,,,,,,,
Unit 1,Xinyuanjieneng Qingshuichuan Power Station,Shaanxi Coal And Chemical Industry Co Ltd,https://www.gem.wiki/Xinyuanjieneng_Qingshuichuan_power_station,,300,Operating,Asia,China,Shaanxi,39.18047
Phase I,,,,,,,,,,
Unit 1,Xinzhuang Power Station,Sichuan Huadian Panzhihua Power Generation Co,https://www.gem.wiki/Xinzhuang_power_station,,50,Retired,Asia,China,Sichuan,26.5985
Unit 2,Xinzhuang Power Station,Sichuan Huadian Panzhihua Power Generation Co,https://www.gem.wiki/Xinzhuang_power_station,,50,Retired,Asia,China,Sichuan,26.5985
Unit 2,Xishan Cogen Power Station,Shanxi Coking Coal Energy Group Co Ltd [91.6%],https://www.gem.wiki/Xishan_Cogen_power_station,,50,Operating,Asia,China,Shanxi,37.82945
Phase I,,,,,,,,,,
Phase Ii,,,,,,,,,,
Phase Ii,,,,,,,,,,
Phase Ii,,,,,,,,,,
Unit 2,Xishui Power Station,State Power Investment [46.0%]; State Power Investment Co Ltd [25.1%]; Guizhou Panjiang Investment Holding (Group) Co Ltd [8.7%]; Guizhou Qiansheng State-Owned Assets Management Co Ltd [7.6%],https://www.gem.wiki/Xishui_power_station,,135,Operating,Asia,China,Guizhou,28.35669
Relocation Project Unit 1,Xishui Power Station,State Power Investment [46.0%]; State Power Investment Co Ltd [25.1%]; Guizhou Panjiang Investment Holding (Group) Co Ltd [8.7%]; Guizhou Qiansheng State-Owned Assets Management Co Ltd [7.6%],https://www.gem.wiki/Xishui_power_station,,660,Announced,Asia,China,Guizhou,28.35669
Phase I,,,,,,,,,,
Unit 1,Xpcc Hongxing Power Station,China National Coal Group [51.0%]; Xinjiang Production & Construction Corps Investment Co Ltd [49.0%],https://www.gem.wiki/XPCC_Hongxing_power_station,,660,Operating,Asia,China,Xinjiang,42.3143
Phase I,,,,,,,,,,
Phase I,,,,,,,,,,
Unit 2,Xuanhua Power Station,Hebei Construction Investment Energy Investment Co Ltd,https://www.gem.wiki/Xuanhua_power_station,,300,Operating,Asia,China,Hebei,40.58005
Unit 2,Xuanwei Gangue Power Station,Yunnan Energy Investment Co Ltd,https://www.gem.wiki/Xuanwei_Gangue_power_station,,300,Cancelled,Asia,China,Yunnan,26.2792
Phase Vii,,,,,,,,,,
Phase Iii,,,,,,,,,,
Unit 4,Xuzhou Chacheng Power Station,Xuzhou Longcheng Power Plant,https://www.gem.wiki/Xuzhou_Chacheng_power_station,,135,Retired,Asia,China,Jiangsu,34.40353
Phase I,,,,,,,,,,
Phase Ii,,,,,,,,,,
Phase I,,,,,,,,,,
Unit 3,Yancheng Binhai Port Power Station,Jiangsu Guoxin Corp Ltd [55.0%]; Shanxi Coal International Energy Group Co Ltd [35.0%]; Jiangsu Huajing Asset Operation Co Ltd [10.0%],https://www.gem.wiki/Yancheng_Binhai_Port_power_station,,1000,Permitted,Asia,China,Jiangsu,32.03049
Phase Vii,,,,,,,,,,
Phase I,,,,,,,,,,
Phase I,Yangjiang Power Station,China Shenhua Energy Co Ltd,https://www.gem.wiki/Yangjiang_power_station,,2000,Cancelled,Asia,China,Guangdong,21.857
Unit 1,Yangling Cogen Power Station,China Datang Corp [90.0%]; Xuzhou Coal Mining Group Corp [10.0%],https://www.gem.wiki/Yangling_Cogen_power_station,,350,Operating,Asia,China,Shaanxi,34.25885
Phase Iv,,,,,,,,,,
Phase Ii,,,,,,,,,,
Phase Iii,,,,,,,,,,
Unit 1,Yangmei-3 Power Station,Shan Xi Hua Yang Group New Energy Co Ltd,https://www.gem.wiki/Yangmei-3_power_station,,35,Operating,Asia,China,Shanxi,37.86104
Unit 2,Yangquan-2 Power Station,Top Energy Company Ltd.Shanxi,https://www.gem.wiki/Yangquan-2_power_station,,320,Operating,Asia,China,Shanxi,37.77498
Unit 3,Yangquan-2 Power Station,Top Energy Company Ltd.Shanxi,https://www.gem.wiki/Yangquan-2_power_station,,320,Operating,Asia,China,Shanxi,37.77498
Unit 6,Yangquan-2 Power Station,Top Energy Company Ltd.Shanxi,https://www.gem.wiki/Yangquan-2_power_station,,1000,Pre-Permit,Asia,China,Shanxi,37.77498
Phase I,,,,,,,,,,
Phase Ii,,,,,,,,,,
Unit 4,Yangzhou-1 Power Station,China Huadian Group Corp [44.2%]; Yangzhou Urban And Rural Construction State-Owned Assets Holding (Group) Co Ltd [23.2%]; Taizhou Urban Construction Investment Group Co Ltd [16.3%]; Petrochina Co Ltd [11.1%],https://www.gem.wiki/Yangzhou-1_power_station,,220,Retired,Asia,China,Jiangsu,32.43034
Unit 5,Yangzhou-1 Power Station,China Huadian Group Corp [44.2%]; Yangzhou Urban And Rural Construction State-Owned Assets Holding (Group) Co Ltd [23.2%]; Taizhou Urban Construction Investment Group Co Ltd [16.3%]; Petrochina Co Ltd [11.1%],https://www.gem.wiki/Yangzhou-1_power_station,,220,Retired,Asia,China,Jiangsu,32.43034
Unit 1,Yantai Dongyuan Cogen Power Station,Zhaoyuan Xinmao Mining Machinery Co Ltd,https://www.gem.wiki/Yantai_Dongyuan_cogen_power_station,,30,Operating,Asia,China,Shandong,37.4764
Unit 1,Yaochi Power Station,China Datang Corp [55.0%]; Bin Xian Coal Co Ltd [45.0%],https://www.gem.wiki/Yaochi_power_station,,200,Operating,Asia,China,Shaanxi,35.06235
Unit 2,Yaxi Power Station,Jinsha County State Owned Capital Investment And Operation Group Co Ltd [50.0%]; State Power Investment [23.0%]; State Power Investment Co Ltd [12.6%],https://www.gem.wiki/Yaxi_power_station,,300,Operating,Asia,China,Guizhou,27.57892
Unit 4,Yaxi Power Station,Jinsha County State Owned Capital Investment And Operation Group Co Ltd [50.0%]; State Power Investment [23.0%]; State Power Investment Co Ltd [12.6%],https://www.gem.wiki/Yaxi_power_station,,300,Operating,Asia,China,Guizhou,27.57892
Unit 1,Yellow River Delta Power Station,China Development Bank Corp [21.8%]; Binzhou Heyi Industrial Investment Partnership Lp [5.5%],https://www.gem.wiki/Yellow_River_Delta_power_station,,50,Operating,Asia,China,Shandong,37.37808
Unit 2,Yichang East Power Station,Ruyuan Yao Autonomous County Yuneng Electronic Industry Co Ltd [50.0%]; Ruyuan Yao Aut. County Xinjing Technology Development Co Ltd [27.0%]; Ruyuan Yao Autonomous County Xinwei Investment Service Partnership (General Partnership) [9.1%],https://www.gem.wiki/Yichang_East_power_station,,330,Operating,Asia,China,Hubei,30.32709
Unit 1,Yichuan Longquan Kim Hyung Power Station,Shanghai Baisheng Industrial Co Ltd [75.0%]; Hang Dragon Co.,,,,,,,,
Unit 1,Yichuan-2 Power Station,Shanghai Baisheng Industrial Co Ltd [75.0%]; Hang Dragon Co.,,,,,,,,
Unit 1,Yichuan-3 Power Station,Shanghai Baisheng Industrial Co Ltd,https://www.gem.wiki/Yichuan-3_power_station,,300,Operating,Asia,China,Henan,34.41564
Unit 3,Yichuan-3 Power Station,Shanghai Baisheng Industrial Co Ltd,https://www.gem.wiki/Yichuan-3_power_station,,300,Operating,Asia,China,Henan,34.41564
Unit 1,Yihua Captive Power Station,Hubei Yihua Chemical Industry Co Ltd,https://www.gem.wiki/Yihua_Captive_power_station,,35,Operating,Asia,China,Hubei,30.4789
Phase I,,,,,,,,,,
Phase Iv,,,,,,,,,,
Phase I,,,,,,,,,,
Unit 8,Yinchuan Power Station,Ningxia State-Owned Investment Management Co Ltd [89.4%]; Ningxia Guoyun Development Private Fund Partnership Lp [10.6%],https://www.gem.wiki/Yinchuan_power_station,,30,Retired,Asia,China,Ningxia,38.46765
Unit 2,Yingkou Coastal Power Station,Huaneng Power International Inc,https://www.gem.wiki/Yingkou_Coastal_power_station,,350,Operating,Asia,China,Liaoning,40.58089
Unit 7,Yishui County Cogen Power Station,Shandong Fiberglass Group Co Ltd,https://www.gem.wiki/Yishui_County_cogen_power_station,,50,Operating,Asia,China,Shandong,35.7592
Unit 2,Yixing Cogen Power Station,China Resources Power Holdings Co Ltd [55.0%]; Gaston Co.,,,,,,,,
Unit 4,Yixing Xielian Power Station,Jiangsu Guoxin Investment Group Ltd [35.0%]; Wuxi Guolian Development (Group) Co Ltd [24.5%]; Wuxi Guofa Capital Operation Co Ltd [11.6%]; Yixing Yilian Enterprise Management Partnership Lp [6.0%],https://www.gem.wiki/Yixing_Xielian_power_station,,60,Retired,Asia,China,Jiangsu,31.39601
Unit 5,Yixing Xielian Power Station,Jiangsu Guoxin Investment Group Ltd [35.0%]; Wuxi Guolian Development (Group) Co Ltd [24.5%]; Wuxi Guofa Capital Operation Co Ltd [11.6%]; Yixing Yilian Enterprise Management Partnership Lp [6.0%],https://www.gem.wiki/Yixing_Xielian_power_station,,135,Operating,Asia,China,Jiangsu,31.39601
Phase Ii,,,,,,,,,,
Phase Iii,,,,,,,,,,
Unit 2,Yongchuan Gangqiao Industry Park Cogen Power Station,Chongqing Xipenglv Industries Zone Development Investment Co Ltd [20.5%]; State Power Investment Co Ltd [11.0%]; Chongqing Yongchuan High Tech Industry Investment And Development Group Co Ltd [10.0%]; Chongqing Hengjie Investment Co Ltd [8.6%]; Chongqing Yulong Asset Management (Group) Co Ltd [7.7%]; China Yangtze Power Co Ltd [6.2%],https://www.gem.wiki/Yongchuan_Gangqiao_Industry_Park_Cogen_power_station,,350,Cancelled,Asia,China,Chongqing,29.36667
Phase I,,,,,,,,,,
Phase Iii,,,,,,,,,,
Unit 2,Yonghao Waste Coal Power Station,China National Coal Group [30.0%]; Shanxi Coal Import And Export Group [30.0%]; Persons [20.0%]; Beijing Ward Financial Investment Holding Co Ltd [19.3%],https://www.gem.wiki/Yonghao_Waste_Coal_power_station,,50,Retired,Asia,China,Shanxi,39.61036
New Unit 3,Yongji Power Station,Jinneng Holding Shanxi Electric Power Co Ltd [65.0%]; Shaanxi Coal And Chemical Industry Co Ltd [35.0%],https://www.gem.wiki/Yongji_power_station,,350,Operating,Asia,China,Shanxi,34.85599
Phase Ii,,,,,,,,,,
Phase Ii,,,,,,,,,,
Unit 1,Yuguang Coal Power Station,Beijing State-Owned Capital Management Center [24.0%]; Shanxi State-Owned Capital Investment And Operation Co Ltd [21.6%]; Hebei Construction Investment Energy Investment Co Ltd [20.0%]; Kepco Shanxi International [17.3%],https://www.gem.wiki/Yuguang_Coal_power_station,,1000,Operating,Asia,China,Shanxi,38.07814
Unit 1,Yuguang Daling Cogen Power Station,Jilin Bowei Industrial Co Ltd [51.5%]; Changchun Lihe Economic And Trade Co Ltd [23.7%]; Changchun Hongxing Technology Co Ltd [14.0%]; Jilin Weifu Technology Co Ltd [6.0%],https://www.gem.wiki/Yuguang_Daling_Cogen_power_station,,50,Announced,Asia,China,Jilin,43.85705
Phase Iii,,,,,,,,,,
Unit 2,Yuka Power Station,China Huaneng Group [75.0%]; Shanghua Investment [25.0%],https://www.gem.wiki/Yuka_power_station,,660,Cancelled,Asia,China,Qinghai,37.4
Unit 2,Yule Dengkou Cogen Power Station,Inner Mongolia Yu Le Chemical Co Ltd,https://www.gem.wiki/Yule_Dengkou_Cogen_power_station,,330,Cancelled,Asia,China,Inner Mongolia,40.37983
South Unit 1,Yulin Bobai Chengnan Industrial Park Cogen Power Station,Shenzhen Chuanghui Energy Saving And Environmental Protection Technology Co Ltd [25.0%]; Yulin Changran Environmental Protection Technology Co Ltd [25.0%]; Yulin Yongwang Energy Saving And Environmental Protection Technology Co Ltd [25.0%]; Yulin Zhifang Trade Co Ltd [24.8%],https://www.gem.wiki/Yulin_Bobai_Chengnan_Industrial_Park_cogen_power_station,,30,Construction,Asia,China,Guangxi,22.17888
Unit 1,Yulin Energy Chemical Industry Captive Power Station,Shaanxi Yanchang Petroleum (Group) Co Ltd [72.0%]; China Coal Energy Co Ltd [15.8%]; Chang'An Huitong Co Ltd [8.4%],https://www.gem.wiki/Yulin_Energy_Chemical_Industry_captive_power_station,,50,Operating,Asia,China,Shaanxi,37.65288
Unit 2,Yulin Energy Chemical Industry Captive Power Station,Shaanxi Yanchang Petroleum (Group) Co Ltd [72.0%]; China Coal Energy Co Ltd [15.8%]; Chang'An Huitong Co Ltd [8.4%],https://www.gem.wiki/Yulin_Energy_Chemical_Industry_captive_power_station,,50,Operating,Asia,China,Shaanxi,37.65288
South Unit 2,Yulin Fumian Industrial Park Cogen Power Station,Dongguan Weiye Investment Co Ltd [61.3%]; Guangdong Nanfeng Center Group Co Ltd [16.2%],https://www.gem.wiki/Yulin_Fumian_Industrial_Park_cogen_power_station,,30,Construction,Asia,China,Guangxi,22.51863
Unit 2,Yulin Jinlong Cogen Power Station,Shaanxi Yulin Energy Group Co Ltd [50.0%]; Yulin Yuyang District State Owned Assets Operation Co Ltd [20.0%]; Shenmu County State-Owned Assets Operation Co [17.1%]; Yulin Hengshan Xingheng Project Management Co Ltd [10.0%],https://www.gem.wiki/Yulin_Jinlong_Cogen_power_station,,50,Retired,Asia,China,Shaanxi,38.31913
Unit 4,Yulin Shanghe Power Station,Shaanxi Yulin Energy Group Co Ltd [50.0%]; Yulin Yuyang District State Owned Assets Operation Co Ltd [20.0%]; Shenmu County State-Owned Assets Operation Co [17.1%]; Yulin Hengshan Xingheng Project Management Co Ltd [10.0%],https://www.gem.wiki/Yulin_Shanghe_power_station,,140,Operating,Asia,China,Shaanxi,38.42868
Unit 2,Yulin Yuheng Power Station,China Huadian Group Corp [61.9%]; Yulin Investment Operation Group Co Ltd [16.0%]; Huadian Power International Co Ltd [9.4%],https://www.gem.wiki/Yulin_Yuheng_power_station,,600,Operating,Asia,China,Shaanxi,38.13467
Unit 2,Yulin Yushen Qingshui Power Station,Management Committee Of Yushen Industrial Zone (Yulin Economic And Technological Development Zone),https://www.gem.wiki/Yulin_Yushen_Qingshui_power_station,,660,Pre-Permit,Asia,China,Shaanxi,38.62342
Unit 1,Yuncheng GunlÃ¼ Power Station,Shanxi Guanlu Group Co Ltd [70.0%]; China Minmetals Corp [26.3%],https://www.gem.wiki/Yuncheng_Gunl%C3%BC_power_station,,200,Operating,Asia,China,Shanxi,34.9878
Unit 2,Yuncheng Power Station,Shaanxi Coal And Chemical Industry Co Ltd [51.0%]; Datang International Power Generation Co Ltd [49.0%],https://www.gem.wiki/Yuncheng_power_station,,600,Operating,Asia,China,Shanxi,34.64405
Phase I,,,,,,,,,,
Unit 1,Yuning Cogen Power Station,Handan Ningdu Real Estate Development [50.0%]; Jizhong Energy Group Co Ltd [39.3%]; China Cinda Asset Management Co Ltd [5.4%]; China Huarong Asset Management [5.4%],https://www.gem.wiki/Yuning_Cogen_Power_Station,,50,Retired,Asia,China,Hebei,36.73191
Phase Ii,,,,,,,,,,
Unit 1,Yuyuan Power Station,China Energy Investment Corp [78.4%]; Henan Xinyuan Electric Power Technology Co Ltd [21.4%],https://www.gem.wiki/Yuyuan_power_station,,150,Operating,Asia,China,Henan,35.05707
Unit 2,Yuyuan Power Station,China Energy Investment Corp [78.4%]; Henan Xinyuan Electric Power Technology Co Ltd [21.4%],https://www.gem.wiki/Yuyuan_power_station,,150,Operating,Asia,China,Henan,35.05707
Unit 1,Zaozhuang Nanjiao Cogen Power Station,Shandong Quanxing Energy Group Co Ltd [90.0%]; Shandong Caixin Asset Operation Co Ltd [10.0%],https://www.gem.wiki/Zaozhuang_Nanjiao_cogen_power_station,,55,Operating,Asia,China,Shandong,34.82957
Unit 5,Zhangdian Power Station,Zibo Thermal Power Group Co Ltd [99.0%],https://www.gem.wiki/Zhangdian_power_station,,50,Operating,Asia,China,Shandong,36.79513
Unit 1,Zhangji Power Station,State-Owned Assets Supervision And Administration Commission Of The People'S Government Of Anhui Province [61.0%]; Anhui Province Energy Group Co Ltd [39.0%],https://www.gem.wiki/Zhangji_power_station,,1000,Shelved,Asia,China,Anhui,32.74711
Unit 2,Zhangji Power Station,State-Owned Assets Supervision And Administration Commission Of The People'S Government Of Anhui Province [61.0%]; Anhui Province Energy Group Co Ltd [39.0%],https://www.gem.wiki/Zhangji_power_station,,1000,Shelved,Asia,China,Anhui,32.74711
Unit 1,Zhangjiagang Shagang Power Station,Hengde International [37.6%]; Persons [29.3%]; Zhangjiagang Free Trade Zone Runyuan Stainless Steel Trade Co Ltd [8.8%]; Ningbo Meishan Free Trade Port Jincheng Shazhou Equity Investment Co Ltd [7.1%],https://www.gem.wiki/Zhangjiagang_Shagang_power_station,,50,Operating,Asia,China,Jiangsu,31.97886
Phase I,,,,,,,,,,
Phase I,,,,,,,,,,
Unit 1,Zhangjiajie Sangzi Power Station,Guangdong Cloud Capital Industrial Investment Co Ltd [95.1%],https://www.gem.wiki/Zhangjiajie_Sangzi_power_station,,60,Retired,Asia,China,Hunan,29.38166
Unit 4,Zhangjiakou Power Station,Datang International Power Generation Co Ltd,https://www.gem.wiki/Zhangjiakou_power_station,,320,Operating,Asia,China,Hebei,40.65958
Unit 6,Zhangjiakou Power Station,Datang International Power Generation Co Ltd,https://www.gem.wiki/Zhangjiakou_power_station,,320,Operating,Asia,China,Hebei,40.65958
Unit 7,Zhangjiakou Power Station,Datang International Power Generation Co Ltd,https://www.gem.wiki/Zhangjiakou_power_station,,320,Operating,Asia,China,Hebei,40.65958
Phase Iii,,,,,,,,,,
Unit 3,Zhangqiu Power Station,Huadian Power International Co Ltd [87.5%]; Shandong Longshan Industrial Development Investment Group Co Ltd [6.0%],https://www.gem.wiki/Zhangqiu_power_station,,335,Operating,Asia,China,Shandong,36.72753
Phase Ii,,,,,,,,,,
Phase I,,,,,,,,,,
Unit 1,Zhangze Linfen Power Station,Jinneng Holding Shanxi Electric Power Co Ltd [50.0%]; Shanxi Dinghao Energy Co Ltd [33.8%]; Artistry Fashion Garment Manufacturing Company [11.2%],https://www.gem.wiki/Zhangze_Linfen_power_station,,300,Operating,Asia,China,Shanxi,36.08724
Unit 1,Zhanjiang Donghai Power Station,Zhuhai Jingsheng Industrial Co Ltd [36.0%]; Nanqiao Power [27.0%]; China Comba Power Holding Group [23.6%]; Guangzhou Jingxin Technology Co Ltd [13.4%],https://www.gem.wiki/Zhanjiang_Donghai_power_station,,600,Construction,Asia,China,Guangdong,21.07361
Relocated Unit 1,Zhanjiang Power Station,Guangdong Electric Power Development Co Ltd [76.0%]; China Energy Investment Corp [17.3%],https://www.gem.wiki/Zhanjiang_power_station,,1000,Announced,Asia,China,Guangdong,21.31086
Unit 1,Zhaofeng Aluminum Captive Power Station,Shanxi State-Owned Capital Investment And Operation Co Ltd [58.8%]; China Cinda Asset Management Co Ltd [34.7%]; Yangquan Coal Industry(Group)Limited Liability Co [6.0%],https://www.gem.wiki/Zhaofeng_Aluminum_captive_power_station,,135,Operating,Asia,China,Shanxi,37.76737
Unit 1,Zhaogu Power Station,Henan Province Energy Chemical Group Co Ltd,https://www.gem.wiki/Zhaogu_power_station,,350,Cancelled,Asia,China,Henan,35.41196
Unit 5,Zhaoyuan Linglong Cogen Power Station,Shandong Linglong Rubber Co Ltd,https://www.gem.wiki/Zhaoyuan_Linglong_cogen_power_station,,50,Retired,Asia,China,Shandong,37.38884
Unit 7,Zhaoyuan Linglong Cogen Power Station,Shandong Linglong Rubber Co Ltd,https://www.gem.wiki/Zhaoyuan_Linglong_cogen_power_station,,50,Operating,Asia,China,Shandong,37.38884
Unit 2,Zhejiang Ji'An Paper Container Power Station,Shanying International Holdings Co Ltd,https://www.gem.wiki/Zhejiang_Ji'an_Paper_Container_power_station,,37,Operating,Asia,China,Zhejiang,30.60546
Unit 1,Zhejiang Taizhou-1 Power Station,Zhejiang Zheneng Electric Power Co Ltd,https://www.gem.wiki/Zhejiang_Taizhou-1_power_station,,135,Retired,Asia,China,Zhejiang,28.69696
Unit 4,Zhejiang Taizhou-1 Power Station,Zhejiang Zheneng Electric Power Co Ltd,https://www.gem.wiki/Zhejiang_Taizhou-1_power_station,,135,Retired,Asia,China,Zhejiang,28.69696
Unit 6,Zhejiang Taizhou-1 Power Station,Zhejiang Zheneng Electric Power Co Ltd,https://www.gem.wiki/Zhejiang_Taizhou-1_power_station,,135,Retired,Asia,China,Zhejiang,28.69696
